Figure Name,Food Items ,Portion Size (g),Error Checking ==>,Food Items Count,Portion Count,Equals
e001,"Clementine,Broccoli,Cauliflower,Chives,Jujube","35,38,35,2,16",,5,5,True
e002,"Clementine,Broccoli,Cauliflower,Chives,Jujube","35,38,35,5,16",,5,5,True
e003,"Clementine,Broccoli,Cauliflower,Cherry Tomato,Chives,Jujube","35,38,35,20,5,16",,6,6,True
e004,"Clementine,Broccoli,Cauliflower,Cherry Tomato,Chives,Jujube","35,38,35,33,5,16",,6,6,True
e005,Clementine,30,,1,1,True
e006,Clementine,30,,1,1,True
e007,Clementine,35,,1,1,True
e008,Clementine,35,,1,1,True
e009,Carrot,86,,1,1,True
e010,Broccoli,23,,1,1,True
e011,Broccoli,23,,1,1,True
e012,Broccoli,15,,1,1,True
e013,Broccoli,15,,1,1,True
e014,Broccoli,27,,1,1,True
e015,Broccoli,27,,1,1,True
e016,Cauliflower,39,,1,1,True
e017,Cauliflower,39,,1,1,True
e018,Cauliflower,35,,1,1,True
e019,Cauliflower,35,,1,1,True
e020,Cherry Tomato,11,,1,1,True
e021,Cherry Tomato,9,,1,1,True
e022,Cherry Tomato,13,,1,1,True
e023,Cherry Tomato,7,,1,1,True
e024,Clementine,65,,1,1,True
e025,Clementine,65,,1,1,True
e026,Cherry Tomato,20,,1,1,True
e027,Cherry Tomato,24,,1,1,True
e028,Cherry Tomato,18,,1,1,True
e029,Cherry Tomato,22,,1,1,True
e030,Cherry Tomato,16,,1,1,True
e031,Cherry Tomato,20,,1,1,True
e032,Broccoli,38,,1,1,True
e033,Broccoli,50,,1,1,True
e034,"Broccoli,Cauliflower","23,39",,2,2,True
e035,"Broccoli,Cauliflower","23,35",,2,2,True
e036,Broccoli,42,,1,1,True
e037,"Broccoli,Cauliflower","15,39",,2,2,True
e038,"Broccoli,Cauliflower","15,35",,2,2,True
e039,"Broccoli,Cauliflower","27,39",,2,2,True
e040,"Broccoli,Cauliflower","27,35",,2,2,True
e041,Cauliflower,74,,1,1,True
e042,"Carrot,Broccoli","86,23",,2,2,True
e043,"Carrot,Broccoli","86,15",,2,2,True
e044,"Carrot,Broccoli","86,27",,2,2,True
e045,"Carrot,Cauliflower","86,39",,2,2,True
e046,"Carrot,Cauliflower","86,35",,2,2,True
e047,Chives,2,,1,1,True
e048,Chives,3,,1,1,True
e049,Mushrooms,23,,1,1,True
e050,Mushrooms,23,,1,1,True
e051,Mushrooms,23,,1,1,True
e052,Mushrooms,23,,1,1,True
e053,Garlic,7,,1,1,True
e054,Garlic,4,,1,1,True
e055,Garlic,3,,1,1,True
e056,Garlic,7,,1,1,True
e057,Garlic,11,,1,1,True
e058,Garlic,10,,1,1,True
e059,Garlic,14,,1,1,True
e060,Garlic,7,,1,1,True
e061,Garlic,10,,1,1,True
e062,Garlic,11,,1,1,True
e063,Potato,104,,1,1,True
e064,Potato,104,,1,1,True
e065,Potato,104,,1,1,True
e066,Potato,104,,1,1,True
e067,"Broccoli,Potato","38,104",,2,2,True
e068,"Broccoli,Potato","38,104",,2,2,True
e069,"Broccoli,Potato","50,104",,2,2,True
e070,"Broccoli,Potato","50,104",,2,2,True
e071,"Garlic,Potato","14,104",,2,2,True
e072,"Garlic,Potato","14,104",,2,2,True
e073,"Garlic,Potato","14,104",,2,2,True
e074,"Garlic,Potato","11,104",,2,2,True
e075,"Garlic,Potato","11,104",,2,2,True
e076,"Broccoli,Garlic","38,10",,2,2,True
e077,"Broccoli,Garlic","38,10",,2,2,True
e078,"Broccoli,Garlic","50,10",,2,2,True
e079,"Broccoli,Garlic","50,10",,2,2,True
e080,"Cauliflower,Garlic","39,7",,2,2,True
e081,"Cauliflower,Garlic","35,7",,2,2,True
e082,"Chives,Garlic","3,3",,2,2,True
e083,"Chives,Garlic","3,7",,2,2,True
e084,"Chives,Garlic","3,10",,2,2,True
e085,"Broccoli,Chives","15,2",,2,2,True
e086,"Broccoli,Chives","15,2",,2,2,True
e087,"Broccoli,Chives","23,2",,2,2,True
e088,"Broccoli,Chives","23,2",,2,2,True
e089,"Broccoli,Chives","23,5",,2,2,True
e090,"Broccoli,Chives","15,5",,2,2,True
e091,Jujube,8,,1,1,True
e092,Jujube,8,,1,1,True
e093,Jujube,8,,1,1,True
e094,Jujube,8,,1,1,True
e095,Jujube,16,,1,1,True
e096,Jujube,16,,1,1,True
e097,Raisins,30,,1,1,True
e098,Raisins,30,,1,1,True
e099,"Cherry Tomato,Raisins","24,30",,2,2,True
e100,"Cherry Tomato,Raisins","24,30",,2,2,True
e101,Clementine,35,,1,1,True
e102,Clementine,35,,1,1,True
e103,Clementine,35,,1,1,True
e104,Clementine,35,,1,1,True
e105,"Cherry Tomato,Raisins","9,17",,2,2,True
e106,"Cherry Tomato,Raisins","9,17",,2,2,True
e107,"Clementine,Cherry Tomato,Raisins","35,9,17",,3,3,True
e108,"Clementine,Cherry Tomato,Raisins","35,9,17",,3,3,True
e109,"Clementine,Cherry Tomato,Raisins","35,9,17",,3,3,True
e110,"Broccoli,Mushrooms","15,23",,2,2,True
e111,"Broccoli,Mushrooms","15,23",,2,2,True
e112,"Carrot,Mushrooms","86,23",,2,2,True
e113,"Carrot,Mushrooms","86,23",,2,2,True
e114,"Carrot,Mushrooms","86,23",,2,2,True
e115,"Carrot,Mushrooms","86,23",,2,2,True
e116,"Carrot,Mushrooms","86,23",,2,2,True
e117,"Carrot,Broccoli","86,38",,2,2,True
e118,"Carrot,Broccoli","86,38",,2,2,True
e119,"Carrot,Broccoli","86,50",,2,2,True
e120,"Carrot,Broccoli","86,50",,2,2,True
e121,"Carrot,Broccoli,Cauliflower","86,15,35",,3,3,True
e122,"Carrot,Broccoli,Cauliflower","86,15,35",,3,3,True
e123,"Clementine,Apple","35,110",,2,2,True
e124,"Clementine,Apple","35,110",,2,2,True
e125,"Clementine,Cherry Tomato,Apple","35,9,110",,3,3,True
e126,"Clementine,Cherry Tomato,Apple","35,9,110",,3,3,True
e127,"Clementine,Cherry Tomato,Apple","35,9,110",,3,3,True
e128,"Clementine,Cherry Tomato,Apple","35,9,110",,3,3,True
e129,"Clementine,Cherry Tomato,Apple","35,9,110",,3,3,True
e130,"Clementine,Cherry Tomato,Apple","35,9,110",,3,3,True
e131,"Clementine,Cherry Tomato,Raisins,Apple","35,9,17,110",,4,4,True
e132,"Clementine,Cherry Tomato,Raisins,Apple","35,9,17,110",,4,4,True
e133,"Clementine,Cherry Tomato,Jujube","35,20,8",,3,3,True
e134,"Clementine,Cherry Tomato,Jujube","35,20,8",,3,3,True
e135,"Clementine,Cherry Tomato,Jujube","35,22,8",,3,3,True
e136,"Clementine,Cherry Tomato,Jujube,Raisins","35,13,8,30",,4,4,True
e137,"Clementine,Cherry Tomato,Jujube,Raisins","35,13,8,30",,4,4,True
e138,"Clementine,Cherry Tomato,Jujube,Raisins","35,13,8,30",,4,4,True
e139,"Clementine,Cherry Tomato,Jujube,Raisins","35,22,8,30",,4,4,True
e140,"Clementine,Cherry Tomato,Jujube,Raisins","35,22,8,30",,4,4,True
e141,"Clementine,Cherry Tomato,Jujube,Raisins,Apple","35,22,8,30,110",,5,5,True
e142,"Clementine,Cherry Tomato,Jujube,Raisins,Apple","35,22,8,30,110",,5,5,True
e143,"Clementine,Cherry Tomato,Jujube,Raisins,Apple","35,22,8,30,110",,5,5,True
e144,"Clementine,Cherry Tomato,Jujube,Raisins,Apple","35,22,8,30,110",,5,5,True
e145,"Carrot,Broccoli,Cauliflower,Chives","86,38,35,2",,4,4,True
e146,"Carrot,Broccoli,Cauliflower,Chives","86,38,35,2",,4,4,True
e147,"Carrot,Broccoli,Cauliflower,Chives","86,38,35,2",,4,4,True
e148,"Carrot,Broccoli,Cauliflower,Chives,Mushrooms","86,38,35,2,23",,5,5,True
e149,"Carrot,Broccoli,Cauliflower,Chives,Mushrooms","86,38,35,2,23",,5,5,True
e150,"Carrot,Broccoli,Cauliflower,Chives,Mushrooms","86,38,35,2,23",,5,5,True
e151,"Carrot,Broccoli,Cauliflower,Chives,Mushrooms","86,38,35,2,23",,5,5,True
e152,"Carrot,Chives,Apple","86,2,110",,3,3,True
e153,"Carrot,Chives,Apple","86,2,110",,3,3,True
e154,"Carrot,Broccoli,Chives,Apple","86,15,2,110",,4,4,True
e155,"Carrot,Broccoli,Chives,Apple","86,38,2,110",,4,4,True
e156,"Broccoli,Chives,Jujube,Apple","38,2,8,110",,4,4,True
e157,"Broccoli,Chives,Jujube,Apple","38,2,16,110",,4,4,True
e158,"Clementine,Broccoli,Chives,Jujube,Apple","35,38,2,16,110",,5,5,True
e159,"Clementine,Broccoli,Chives,Jujube","35,38,2,16",,4,4,True
v001,"Chicken Breast,Cantaloupe,Honeydew","287,80,168",,3,3,True
v002,Bread,30,,1,1,True
v003,Grapes,25,,1,1,True
v004,Grapes,25,,1,1,True
v005,Grapes,25,,1,1,True
v006,Grapes,25,,1,1,True
v007,"Bread,Cantaloupe,Grapes","30,168,41",,3,3,True
v008,"Bread,Cantaloupe,Grapes","30,168,41",,3,3,True
v009,"Bread,Cantaloupe,Grapes","30,168,41",,3,3,True
v010,"Bread,Cantaloupe,Grapes","58,168,41",,3,3,True
v011,"Bread,Cantaloupe,Grapes","58,168,41",,3,3,True
v012,"Bread,Cantaloupe,Grapes","58,168,41",,3,3,True
v013,Bread,30,,1,1,True
v014,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v015,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v016,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v017,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v018,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v019,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v020,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v021,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple","58,168,41,36,65",,5,5,True
v022,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple","58,168,41,36,65",,5,5,True
v023,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple","58,168,41,36,65",,5,5,True
v024,Bread,58,,1,1,True
v025,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple","58,168,41,36,65",,5,5,True
v026,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple,Chicken Breast","58,168,41,36,65,125",,6,6,True
v027,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple,Chicken Breast","58,168,41,36,65,125",,6,6,True
v028,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple,Chicken Breast","58,168,41,36,65,125",,6,6,True
v029,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple,Chicken Breast,Honeydew","58,168,41,36,65,125,80",,7,7,True
v030,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple,Chicken Breast,Honeydew","58,168,41,36,65,125,80",,7,7,True
v031,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple,Chicken Breast,Honeydew","58,168,41,36,65,125,80",,7,7,True
v032,"Bread,Grapes,Chicken Breast","58,41,287",,3,3,True
v033,"Bread,Grapes,Chicken Breast","58,41,287",,3,3,True
v034,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v035,Bread,58,,1,1,True
v036,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v037,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v038,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v039,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v040,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v041,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v042,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v043,Chicken Breast,125,,1,1,True
v044,Chicken Breast,125,,1,1,True
v045,Chicken Breast,125,,1,1,True
v046,Bread,58,,1,1,True
v047,Chicken Breast,125,,1,1,True
v048,Chicken Breast,125,,1,1,True
v049,Chicken Breast,125,,1,1,True
v050,Chicken Breast,125,,1,1,True
v051,Chicken Breast,125,,1,1,True
v052,Chicken Breast,287,,1,1,True
v053,Chicken Breast,287,,1,1,True
v054,Chicken Breast,287,,1,1,True
v055,Chicken Breast,287,,1,1,True
v056,Chicken Breast,287,,1,1,True
v057,Bread,58,,1,1,True
v058,Chicken Breast,287,,1,1,True
v059,Chicken Breast,287,,1,1,True
v060,Chicken Breast,287,,1,1,True
v061,Chicken Breast,287,,1,1,True
v062,Chicken Breast,287,,1,1,True
v063,"Chicken Breast,Blueberries,Strawberries","287,21,36",,3,3,True
v064,"Chicken Breast,Blueberries,Strawberries","287,21,36",,3,3,True
v065,"Chicken Breast,Blueberries,Strawberries,Grapes","287,21,36,41",,4,4,True
v066,"Chicken Breast,Blueberries,Strawberries,Grapes","287,21,36,41",,4,4,True
v067,"Chicken Breast,Blueberries,Strawberries,Grapes","287,21,36,41",,4,4,True
v068,Blueberries,10,,1,1,True
v069,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread","287,21,36,41,30",,5,5,True
v070,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread,Pineapple","287,21,36,41,30,65",,6,6,True
v071,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread,Pineapple","287,21,36,41,30,65",,6,6,True
v072,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread,Pineapple","287,21,36,41,30,65",,6,6,True
v073,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread,Pineapple","287,21,36,41,58,65",,6,6,True
v074,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread,Pineapple","287,21,36,41,58,65",,6,6,True
v075,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread,Pineapple","287,21,36,41,58,65",,6,6,True
v076,"Chicken Breast,Blueberries,Strawberries,Honeydew,Bread,Pineapple       ","162,21,36,80,58,65",,6,6,True
v077,"Chicken Breast,Blueberries,Strawberries,Honeydew,Bread,Pineapple       ","162,21,36,80,58,65",,6,6,True
v078,"Chicken Breast,Strawberries,Honeydew,Bread","162,36,80,58",,4,4,True
v079,Blueberries,10,,1,1,True
v080,"Chicken Breast,Strawberries,Honeydew,Bread","162,36,80,58",,4,4,True
v081,"Chicken Breast,Honeydew,Bread","162,80,58",,3,3,True
v082,"Chicken Breast,Strawberries,Bread","162,36,58",,3,3,True
v083,"Chicken Breast,Strawberries","162,36",,2,2,True
v084,"Chicken Breast,Strawberries","162,36",,2,2,True
v085,"Chicken Breast,Strawberries,Bread","162,20,30",,3,3,True
v086,"Chicken Breast,Strawberries,Bread","162,20,30",,3,3,True
v087,"Chicken Breast,Strawberries,Bread","162,20,30",,3,3,True
v088,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v089,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v090,Blueberries,10,,1,1,True
v091,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v092,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v093,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v094,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v095,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v096,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v097,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v098,"Chicken Breast,Strawberries,Bread,Cantaloupe","162,20,30,56",,4,4,True
v099,"Chicken Breast,Strawberries,Bread,Cantaloupe","162,20,30,56",,4,4,True
v100,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","162,20,30,56,80",,5,5,True
v101,Blueberries,10,,1,1,True
v102,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","162,20,30,56,80",,5,5,True
v103,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","162,20,30,56,80",,5,5,True
v104,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","287,20,30,56,80",,5,5,True
v105,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","287,20,30,56,80",,5,5,True
v106,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","287,20,30,56,80",,5,5,True
v107,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","287,20,58,56,80",,5,5,True
v108,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","287,20,58,56,80",,5,5,True
v109,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","287,20,58,56,80",,5,5,True
v110,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v111,Bread,30,,1,1,True
v112,Blueberries,10,,1,1,True
v113,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v114,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v115,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v116,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v117,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v118,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v119,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v120,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v121,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v122,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v123,Blueberries,21,,1,1,True
v124,Blueberries,21,,1,1,True
v125,Blueberries,21,,1,1,True
v126,Blueberries,21,,1,1,True
v127,Strawberries,20,,1,1,True
v128,Strawberries,20,,1,1,True
v129,Strawberries,20,,1,1,True
v130,Strawberries,36,,1,1,True
v131,Strawberries,36,,1,1,True
v132,Bread,58,,1,1,True
v133,Strawberries,36,,1,1,True
v134,Strawberries,36,,1,1,True
v135,Strawberries,36,,1,1,True
v136,Strawberries,36,,1,1,True
v137,Strawberries,36,,1,1,True
v138,Cantaloupe,26,,1,1,True
v139,Cantaloupe,26,,1,1,True
v140,Cantaloupe,26,,1,1,True
v141,Cantaloupe,26,,1,1,True
v142,Cantaloupe,26,,1,1,True
v143,Bread,58,,1,1,True
v144,Cantaloupe,26,,1,1,True
v145,Cantaloupe,76,,1,1,True
v146,Cantaloupe,76,,1,1,True
v147,Cantaloupe,76,,1,1,True
v148,Cantaloupe,76,,1,1,True
v149,Cantaloupe,76,,1,1,True
